indicator,ensemble,linear,timesfm,xgboost,Winner,Min_MAPE
temporary_employment,5.843661896443842,5.602244887022811e-07,6.939429746320296,9.843463482026095,linear,5.602244887022811e-07
temporary_employment_pct,2.152892331002149,0.0304776070999663,8.166121489130779,4.9263156116457925,linear,0.0304776070999663
total_employment,3.33282883596546,1.384025577059243,1.463591456118713,5.757562199040492,linear,1.384025577059243
total_employment_rate,1.0881274947057809,0.9854002868014976,1.2992484857077349,1.3521185262209905,linear,0.9854002868014976
unemployment,10.303161321209783,11.351706732169594,10.487801111873836,12.078537026353768,ensemble,10.303161321209783
unemployment_rate,9.695961790452682,10.404047510879783,10.582740450854171,9.741129261035445,ensemble,9.695961790452682
weekly_hours,0.6617029419421959,0.609159676073238,0.6817500110716598,0.8762535522469805,linear,0.609159676073238
youth_employment,4.388281528248285,4.029859006629626,3.848898918443181,6.290126577955239,timesfm,3.848898918443181
youth_employment_rate,3.496370961920685,3.4708330767068416,3.644507932103007,3.608218526710895,linear,3.4708330767068416
youth_long_term_unemployment_rate,12.058913671909783,13.233221888296065,11.856689376850712,11.266679780694158,xgboost,11.266679780694158
youth_unemployment,11.563968282305073,12.20051377577486,10.458721320375934,13.348713527365971,timesfm,10.458721320375934
youth_unemployment_rate,11.51358380822814,11.376248018079728,10.012066413155331,11.41752722631416,timesfm,10.012066413155331
